region,tile_id,caption_lr,caption_sr,caption_gt,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
R1,tile_0000,a cat is sitting on a table,aerial view of farmland fields,an aerial view of a green field,0.1428571428571428,0.4021920276213835,0.1428571428571428,0.5,0.0,0.3808726084759437
R1,tile_0001,a black and white cat is sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of a field with trees,0.0909090909090909,0.4,0.1052631578947368,0.4444444444444445,0.0,0.3188231972456646
R1,tile_0002,a black and white cat is standing in a room,a large green field,an aerial view of a farm in the middle of the country,0.1637461506155964,0.0338338208091531,0.1818181818181818,0.125,0.0485144415690324,0.0
R1,tile_0003,a black and white cat is sitting on a table,a green stone with a white line on it,a satellite image of the site of the proposed site,0.1,0.0994265907571521,0.1,0.1052631578947368,0.0,0.0
R1,tile_0004,a close up of a blue and white diamond,aerial view of the road from the air,a satellite image of a road in the countryside,0.3333333333333333,0.3309363384692233,0.3333333333333333,0.3529411764705882,0.07780894359285,0.3249317266808787
R1,tile_0005,a cat is sitting on a table,a green quartzite slab,an aerial view of a field with a road,0.2147077980215102,0.0716261992150475,0.25,0.1538461538461538,0.0,0.0
R1,tile_0006,a green and white square with a black background,aerial view of the fields,an aerial view of the countryside,0.0,0.6549846024623855,0.0,0.7272727272727272,0.0,0.5803329846765686
R1,tile_0007,a man with a beard and a mustache,aerial view of the river,an aerial view of a farm and fields,0.25,0.3292869816564158,0.25,0.4615384615384615,0.0934947749753671,0.3446421410380547
R1,tile_0008,a cat is sitting on a couch,aerial view of the green fields,an aerial view of a farm in the middle of a rural area,0.1212493844791285,0.2076021492763984,0.2,0.4210526315789473,0.0,0.40840369224375
R1,tile_0009,a blur of a person walking on a sidewalk,a green field with a white line,an aerial view of a field with a small house,0.2982797722714565,0.372250890017746,0.3157894736842105,0.4705882352941176,0.078744603455945,0.1908740661302035
R1,tile_0010,a blur of a house in the distance,a large green field,an aerial view of a large industrial area,0.25,0.1839397205857211,0.25,0.3333333333333333,0.0845798608014702,0.1253669379873173
R1,tile_0011,a blur of a building with a lot of windows,an aerial view of a large field with buildings,an aerial view of a small town,0.2,0.5555555555555556,0.2352941176470588,0.6250000000000001,0.1627944951197125,0.4112070550676187
R1,tile_0012,a satellite image of the city of london,an aerial view of the site of the former building,an aerial view of a city with buildings,0.375,0.4,0.375,0.4444444444444445,0.2423577195679236,0.3477492453816745
R1,tile_0013,a large white house with a lot of windows,an aerial view of the village,an aerial view of a small town,0.2222222222222222,0.5643211499270759,0.25,0.6153846153846153,0.0845798608014702,0.5031026124151314
R1,tile_0014,a blue and white background with a white background,a large body of water,a body of water,0.111111111111111,0.8,0.1538461538461538,0.888888888888889,0.0,0.7765145304745156
R1,tile_0015,a black and white photo of a man in a suit,a small green plant in a white container,a black and white photo of a river,0.6363636363636364,0.375,0.7368421052631579,0.375,0.5727393584196196,0.0919399817407808
R1,tile_0016,a purple and green background with a black border,a man is playing tennis on a court,a large area with a lot of trees,0.3333333333333333,0.25,0.3529411764705882,0.25,0.0845798608014702,0.0
R1,tile_0017,a pink and green background with a black border,a green wall with a white border,a satellite image of a forest with a large patch of grass,0.238843770191263,0.2098035683815513,0.2857142857142857,0.3157894736842105,0.0612309433454452,0.0735747461058951
R1,tile_0018,a blur of pink flowers in the sky,a green wall with a concrete floor,a green field with trees and grass,0.125,0.4285714285714285,0.1333333333333333,0.4285714285714285,0.0,0.2257648460026161
R1,tile_0019,a tree with white lights,a view of a lake and a road,a river with houses and trees in the middle,0.1797315856468886,0.2206242256461488,0.2857142857142857,0.2352941176470588,0.0986796179798695,0.0870444679250421
R1,tile_0020,a picture of a person with a green shirt,a large body of water,a river with a boat in it,0.3333333333333333,0.1340640092071278,0.375,0.1666666666666666,0.1016306697911265,0.0
R1,tile_0021,a green field with a white line in the middle,a river running through a lush green forest,a river running through a lush green forest,0.3,1.0,0.3333333333333332,1.0,0.078744603455945,1.0000000000000002
R1,tile_0022,a white circle with a black and white stripe,a cake with a river in the middle,a river in the middle of a forest,0.2222222222222222,0.75,0.2352941176470588,0.75,0.0,0.5031026124151314
R1,tile_0023,a gi is standing in the grass,a satellite image of a road in the middle of a green field,oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0024,a green plant with leaves on it,aerial view of the site of the proposed site,an aerial view of the ancient site of the incas,0.0,0.6959861353000654,0.0,0.7368421052631577,0.0,0.729758519818103
R1,tile_0025,a close up of a person ' s face,aerial view of the green fields,an aerial view of a rural area,0.2222222222222222,0.423240862445307,0.2666666666666666,0.4615384615384615,0.1016306697911265,0.3360969272762574
R1,tile_0026,a blur of a person in a green shirt,aerial view of the green fields,an aerial view of a road in the countryside,0.3333333333333333,0.4043537731417556,0.3333333333333333,0.5333333333333333,0.1707761131901165,0.4112070550676187
R1,tile_0027,a close up of a cat ' s face,aerial view of the fields,an aerial view of the site of the proposed site,0.0994265907571521,0.2943035529371539,0.1111111111111111,0.5333333333333333,0.1273595297947935,0.5250790579579575
R1,tile_0028,a green tree in the middle of a street,a large field with a tree in the middle,oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0029,a white and black cat sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0,1.0,0.0,1.0,0.0,1.0
R1,tile_0030,a close up of a person ' s face,an aerial view of a lake and land,an aerial view of the road that runs through the countryside,0.0889708225463119,0.3436446393954861,0.1052631578947368,0.4210526315789474,0.067435574942795,0.2720595904124083
R1,tile_0031,a blur of a person on a bike,aerial view of the green fields,an aerial view of the countryside,0.125,0.6666666666666666,0.1428571428571428,0.6666666666666666,0.1016306697911265,0.5031026124151314
R1,tile_0032,a green tree with a white top,a green field with a white line in the middle,aerial view of the fields,0.0,0.1,0.0,0.1333333333333333,0.0,0.0870444679250421
R1,tile_0033,a large christmas tree in the middle of the city,an aerial view of a residential area in the suburb of the city of sydney,an aerial view of the site of the proposed development,0.3,0.4666666666666667,0.3,0.56,0.3280375488887144,0.5987397476519991
R1,tile_0034,a blur of a building in the city,"a satellite image of the town of laredo, mexico",an aerial view of a small town in the middle of the country,0.2676307142594951,0.3562113269055303,0.380952380952381,0.4545454545454546,0.3502790273840264,0.3929545947357374
R1,tile_0035,a city at night with a bridge and buildings,an aerial view of the city of san,an aerial view of a city with lots of buildings,0.3977063630286087,0.5841005873035536,0.4210526315789474,0.6666666666666665,0.2095424038071012,0.6201272584968651
R1,tile_0036,a city with lots of lights on it,an aerial view of the intersection of the highway and the intersection of the highway,an aerial view of a city with a road,0.4412484512922977,0.2666666666666666,0.4705882352941176,0.3333333333333333,0.275195812175023,0.2430743090558709
