region,tile_id,classe,caption_lr,caption_sr,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
R1,tile_0026,cultivated vegetation,a blur of a person in a green shirt,aerial view of the green fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0027,cultivated vegetation,a close up of a cat ' s face,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0028,field,a green tree in the middle of a street,a large field with a tree in the middle,0.0,0.111111111111111,0.0,0.1999999999999999,0.0,0.2789425453258252
R1,tile_0029,field,a white and black cat sitting on a white chair,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0030,cultivated vegetation,a close up of a person ' s face,an aerial view of a lake and land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0031,cultivated vegetation,a blur of a person on a bike,aerial view of the green fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0032,cultivated vegetation,a green tree with a white top,a green field with a white line in the middle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0033,urban area,a large christmas tree in the middle of the city,an aerial view of a residential area in the suburb of the city of sydney,0.0,0.0666666666666666,0.0,0.1176470588235294,0.0,0.0889467160873701
R1,tile_0034,urban area,a blur of a building in the city,"a satellite image of the town of laredo, mexico",0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0035,urban area,a city at night with a bridge and buildings,an aerial view of the city of san,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0036,urban area,a city with lots of lights on it,an aerial view of the intersection of the highway and the intersection of the highway,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0037,bare ground,a green plant with a white stem,a road that is next to a body of water,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0038,field,a white cat with a black nose,a large body of water,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0039,field,a green and pink background with a small white dot,a green wall with a white background,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0040,field,a pink and green background with a small amount of light,a green and brown wall with a white border,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0041,field,a green and red background with a small white dot,a green patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0042,water body,a baseball game is being played on a field,a large body of water,0.0,0.4,0.0,0.5714285714285715,0.0,0.5797386715376658
R1,tile_0043,forest,a white light is on the ground,a large body of water,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0044,bare ground,a very colorful background with a lot of small circles,a green wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0049,cultivated vegetation,a close up of a green and yellow flower,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0050,cultivated vegetation,a blurry image of a person in a chair,aerial view of the road,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0051,cultivated vegetation,a blur of a green leaf,aerial view of the farm,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0052,field,a black cat sitting on a white chair,an aerial view of a farm and field,0.0,0.125,0.0,0.2222222222222222,0.0,0.2789425453258252
