tile_id,caption_lr,caption_sr,caption_gt,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,a black and white image of a man with a beard,aerial view of the lake,aerial view of a farm in the countryside,0.18181818181818182,0.43904930887522114,0.2105263157894737,0.6153846153846154,0.07244081925041986,0.5193879933129156
tile_0001,a white and black cat,an aerial view of a lake and a road,a large field with a road going through it,0.08986579282344431,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0,0.07780894359285004
tile_0002,a white and black cat,a satellite image of a lake in the middle of a green field,an aerial view of the river and surrounding farmland,0.08986579282344431,0.15384615384615385,0.14285714285714285,0.18181818181818185,0.09269789668627057,0.17378935844289217
tile_0003,a black and white photo of a person ' s face,an aerial view of a field with a road,aerial view of a field,0.18181818181818182,0.5555555555555556,0.26666666666666666,0.7142857142857143,0.1059921313509325,0.6348087971775132
tile_0004,a white house with a green roof,an aerial view of a road and a field,an aerial view of the site of the former estate,0.0,0.39770636302860873,0.0,0.4210526315789474,0.0,0.3477492453816745
tile_0005,a green leaf with white flowers,an aerial view of a house in the middle of a field,oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique oblique,0.0,0.0,0.0,0.0,0.0,0.0
tile_0006,a white and black cat sitting on a green chair,an aerial view of the site of the proposed site,aerial view of the fields and fields of the countryside,0.10000000000000002,0.6,0.10000000000000002,0.6,0.04692402084245643,0.45762416226963243
tile_0007,a city with lots of buildings and trees,"an aerial view of the city of fort, texas",an aerial view of a small town,0.25,0.4444444444444444,0.26666666666666666,0.5,0.0845798608014702,0.45936277407082354
tile_0008,a black and white photo of a city,a map of the city of edmonton,an aerial view of a small town in the democratic democratic democratic democratic democratic democratic democratic democratic democratic democratic democratic democratic,0.049227918801048515,0.05800083567283401,0.13793103448275862,0.21428571428571427,0.017527374753581917,0.052548972223450195
tile_0009,an aerial view of a city with a red car,an aerial view of the site of the former building,an aerial view of a small town,0.5,0.4,0.588235294117647,0.47058823529411764,0.41120705506761873,0.388554144665772
tile_0010,a man in a suit and tie is standing in front of a camera,an aerial view of the site of the proposed new school,an aerial view of a rural area,0.14285714285714285,0.36363636363636365,0.19047619047619047,0.4444444444444444,0.061005457719230355,0.37134327575442994
