tile_id,caption_lr,caption_sr,caption_gt_rs,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,a black and white image of a man with a beard,aerial view of the lake,aerial view of farmland fields in the countryside of the french countryside,0.08300915602566021,0.1972775711532852,0.08695652173913043,0.47058823529411764,0.09231660587831024,0.48321232863706187
tile_0001,a white and black cat,an aerial view of a lake and a road,a satellite image of a farm in the middle of the country,0.0493193927883213,0.23884377019126307,0.11764705882352941,0.28571428571428575,0.0,0.11446760068960028
tile_0002,a white and black cat,a satellite image of a lake in the middle of a green field,an aerial view of the site of the proposed site,0.0,0.23076923076923078,0.0,0.2608695652173913,0.0,0.2834289552492495
tile_0003,a black and white photo of a person ' s face,an aerial view of a field with a road,an aerial view of the site of the proposed site,0.0909090909090909,0.39770636302860873,0.10000000000000002,0.4210526315789474,0.10599213135093251,0.31882319724566466
tile_0004,a white house with a green roof,an aerial view of a road and a field,an aerial view of the site of the former estate,0.0,0.39770636302860873,0.0,0.4210526315789474,0.0,0.3477492453816745
tile_0005,a green leaf with white flowers,an aerial view of a house in the middle of a field,an aerial view of the site of the former fort,0.0,0.5,0.0,0.5454545454545454,0.0,0.5485910002940579
tile_0006,a white and black cat sitting on a green chair,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0,1.0,0.0,1.0,0.0,1.0
tile_0007,a city with lots of buildings and trees,"an aerial view of the city of fort, texas",a large city,0.25,0.11111111111111109,0.36363636363636365,0.16666666666666666,0.161713780662529,0.1272589870097525
tile_0008,a black and white photo of a city,a map of the city of edmonton,an aerial view of a small town,0.25,0.2857142857142857,0.26666666666666666,0.2857142857142857,0.09193998174078082,0.1757860783933462
tile_0009,an aerial view of a city with a red car,an aerial view of the site of the former building,an aerial view of a small town,0.5,0.4,0.588235294117647,0.47058823529411764,0.41120705506761873,0.388554144665772
tile_0010,a man in a suit and tie is standing in front of a camera,an aerial view of the site of the proposed new school,an aerial view of a rural area,0.14285714285714285,0.36363636363636365,0.19047619047619047,0.4444444444444444,0.061005457719230355,0.37134327575442994
tile_0011,a close up of a purple flower,an aerial view of the site of the site,aerial view of the site of the battle of the sommeer,0.08067401742967989,0.622795757824184,0.1111111111111111,0.7000000000000001,0.16608457334706025,0.8014085606669208
tile_0012,a cell with a cell in the middle,aerial view of the site of the proposed site,an aerial view of the farm and surrounding fields,0.11031211282307446,0.4444444444444444,0.11764705882352941,0.4444444444444444,0.06335481222196541,0.3612742844568884
tile_0013,a black and white dog is looking up at the camera,aerial view of the fields,an aerial view of the fields and fields,0.18181818181818182,0.5488116360940264,0.2105263157894737,0.7692307692307693,0.11234277891542778,0.776193897524313
tile_0014,a black and white cat is looking at the camera,aerial view of the road,aerial view of the fields,0.10000000000000002,0.8,0.13333333333333333,0.8000000000000002,0.08176804146599938,0.6694188517266485
tile_0015,a green and white mosaic tile,a satellite image of a road in the middle of a green field,an aerial view of the farm and fields,0.11942188509563156,0.15384615384615385,0.14285714285714288,0.1904761904761905,0.08704446792504217,0.18576795947976335
