region,tile_id,caption_lr,caption_sr,caption_gt_rs,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
R1,tile_0000,a cat is sitting on a table,aerial view of farmland fields,an aerial view of a field with a road and a road,0.1398690455877008,0.1479581783649639,0.2105263157894737,0.3529411764705882,0.0,0.2624209362619599
R1,tile_0001,a black and white cat is sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of a farm in the middle of a rural area,0.1515914396500328,0.4444909324090307,0.1666666666666666,0.5217391304347826,0.0,0.4658743405039108
R1,tile_0002,a black and white cat is standing in a room,a large green field,an aerial view of a large field with a road,0.2,0.1673476201113223,0.2,0.4285714285714285,0.0,0.2695176132460322
R1,tile_0003,a black and white cat is sitting on a table,a green stone with a white line on it,the site of the proposed site in the town of st louis,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0004,a close up of a blue and white diamond,aerial view of the road from the air,a satellite image of the site of the proposed site,0.1988531815143043,0.2920502936517768,0.2105263157894737,0.3333333333333332,0.1099856999317355,0.3329647510586646
R1,tile_0005,a cat is sitting on a table,a green quartzite slab,an aerial view of a field with a road,0.2147077980215102,0.0716261992150475,0.25,0.1538461538461538,0.0,0.0
R1,tile_0006,a green and white square with a black background,aerial view of the fields,an aerial view of the countryside,0.0,0.6549846024623855,0.0,0.7272727272727272,0.0,0.5803329846765686
R1,tile_0007,a man with a beard and a mustache,aerial view of the river,an aerial view of the farm land,0.0,0.5362560368285115,0.0,0.6666666666666666,0.0,0.5193879933129156
R1,tile_0008,a cat is sitting on a couch,aerial view of the green fields,an aerial view of a farm in the middle of the country,0.0699345227938504,0.2452529607809615,0.1052631578947368,0.4444444444444444,0.0,0.4772850456038162
R1,tile_0009,a blur of a person walking on a sidewalk,a green field with a white line,an aerial view of a farm in the middle of the country,0.1592291801275087,0.0699345227938504,0.1904761904761905,0.1052631578947368,0.1195566314208806,0.0
R1,tile_0010,a blur of a house in the distance,a large green field,a large field with a lot of buildings,0.375,0.2759095808785817,0.375,0.5,0.0919399817407808,0.3187840217537793
R1,tile_0011,a blur of a building with a lot of windows,an aerial view of a large field with buildings,an aerial view of a small town,0.2,0.5555555555555556,0.2352941176470588,0.6250000000000001,0.1627944951197125,0.4112070550676187
R1,tile_0012,a satellite image of the city of london,an aerial view of the site of the former building,an aerial view of a city with buildings,0.375,0.4,0.375,0.4444444444444445,0.2423577195679236,0.3477492453816745
R1,tile_0013,a large white house with a lot of windows,an aerial view of the village,an aerial view of a small town,0.2222222222222222,0.5643211499270759,0.25,0.6153846153846153,0.0845798608014702,0.5031026124151314
