tile_id,classe,caption_lr,caption_sr,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
tile_0000,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including a large body of water in the center.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single bridge.",0,0,0.0,0.0,0.0,0.0
tile_0001,vegetacao cultivada,"The image shows a coastal area with a mix of land cover types, including trees, a road, and a building.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0002,massa dagua,"The image shows a mix of land cover types, including trees, a roundabout, and a golf field.","The image shows a mix of land cover types, including trees, a roundabout, and a building.",0,0,0.0,0.0,0.0,0.0
tile_0003,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including grass, trees, and a building.",The image shows a road at the center with trees on both sides.,0,0,0.0,0.0,0.0,0.0
tile_0004,vegetacao cultivada,"The image shows a remote sensing scene with a bridge and some trees in the center, surrounded by a mix of land cover types.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0005,campo,"The image shows a coastal area with a mix of land cover types, including a golf field and a roundabout.","The image shows a mix of land cover types, including trees, a groundtrackfield, and a soccerballfield.",0,0,0.0,0.0,0.0,0.0
tile_0006,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0007,campo,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including baseball fields, buildings, houses, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0008,area edificada,"The image shows a mix of land cover types, including buildings, houses, and trees, with some areas appearing to be more densely populated than others.","The image shows a mix of land cover types, including buildings, houses, trees, and a single baseball field.",0,0,0.0,0.0,0.0,0.0
tile_0009,campo,"The image shows a bridge and a building, with the bridge being located at the right side of the image.","The image shows a mix of land cover types, including buildings, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0010,campo,"The image shows a bridge and a roundabout, with the bridge being located at the top left and the roundabout being close to it. The land cover type visible is a bridge and a roundabout.","The image shows a mix of land cover types, including buildings, trees, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0011,vegetacao cultivada,"The image shows a mix of land cover types, including trees, water, and a single bridge.","The image shows a mix of land cover types, including trees, a bridge, and a roundabout.",0,0,0.0,0.0,0.0,0.0
tile_0012,vegetacao cultivada,"The image shows a mix of land cover types, including trees, a dam, and a road.","The image shows a mix of land cover types, including trees, a road, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0013,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including a large area of green grass, some trees, and a few buildings.","The image shows a mix of land cover types, including grass, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0014,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0015,campo,"The image shows a remote sensing scene with a mix of land cover types, including a building, trees, and a road.","The image shows a mix of land cover types, including trees, a bridge, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0016,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a golf field, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0017,vegetacao cultivada,"The image shows a mix of land cover types, including a large area of green grass, some trees, and a few buildings.","The image shows a field of green grass in the center, with some trees at the top.",0,0,0.0,0.0,0.0,0.0
tile_0018,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and water, with some trees located at the top left, bottom left, and center of the image.",0,0,0.0,0.0,0.0,0.0
tile_0019,vegetacao cultivada,The image shows a land cover type of trees at the bottom right.,"The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a building.",0,0,0.0,0.0,0.0,0.0
tile_0020,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a single building.",0,0,0.0,0.0,0.0,0.0
tile_0021,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The remote sensing image shows a mix of land cover types, including trees, water, and a single building.",0,0,0.0,0.0,0.0,0.0
tile_0022,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, a roundabout, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0023,campo,"The image shows a bridge and some trees, with the bridge being located at the center and the trees being present at the bottom right.","The image shows a mix of land cover types, including trees, buildings, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0024,vegetacao cultivada,"The image shows a mix of land cover types, including trees, a building, and a road.","The image shows a mix of land cover types, including baseball fields, buildings, and trees.",0,0,0.0,0.0,0.0,0.0
tile_0025,area edificada,"The image shows a mix of land cover types, including a golf field, trees, and a bridge.","The image shows a mix of land cover types, including baseball fields, buildings, and trees.",0,0,0.0,0.0,0.0,0.0
tile_0026,area edificada,"The image shows a mix of land cover types, including buildings, houses, and trees, with some roads and a small vehicle present.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0027,campo,"The image shows a mix of land cover types, including trees, buildings, and a bridge.","The image shows a mix of land cover types, including baseball fields, buildings, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0028,area edificada,"The image shows a mix of land cover types, including buildings, roads, and trees, with a bridge and an overpass present.","The image shows a mix of land cover types, including buildings, houses, trees, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0029,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0030,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a road, and a field.",0,0,0.0,0.0,0.0,0.0
tile_0031,vegetacao cultivada,The image shows a land cover type of trees at the top left.,"The image shows a mix of land cover types, including trees, buildings, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0032,vegetacao cultivada,"The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0033,campo,"The image shows a mix of land cover types, including a bridge, an expressway-toll-station, and various types of trees.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0034,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a bridge.","The image shows a mix of land cover types, including trees, buildings, and a golf course.",0,0,0.0,0.0,0.0,0.0
tile_0035,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, a bridge, and a golf field.",0,0,0.0,0.0,0.0,0.0
tile_0036,floresta,The image shows a land cover type with a mix of trees and a road.,"The image shows a mix of land cover types, including trees, a dam, and a golf field.",0,0,0.0,0.0,0.0,0.0
tile_0037,vegetacao cultivada,"The image shows a mix of land cover types, including trees, a road, and a large swimming pool.","The image shows a mix of land cover types, including trees, a road, and a roundabout.",0,0,0.0,0.0,0.0,0.0
tile_0038,vegetacao cultivada,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, water, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0039,vegetacao cultivada,"The image shows a mix of land cover types, including a golf field, trees, and a bridge.","The image shows a mix of land cover types, including trees, a bridge, and a dam.",0,0,0.0,0.0,0.0,0.0
tile_0040,vegetacao cultivada,The image shows a land cover type of trees at the bottom right.,"The image shows a mix of land cover types, including trees, a golf field, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0041,campo,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, crops, and possibly urban areas, with some regions appearing more densely populated than others.",0,0,0.0,0.0,0.0,0.0
tile_0042,campo,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a building.",0,0,0.0,0.0,0.0,0.0
tile_0043,area edificada,"The image shows a mix of land cover types, including a baseball field, buildings, and trees.","The image shows a mix of land cover types, including baseball fields, buildings, houses, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0044,area edificada,"The image shows a mix of land cover types, including buildings, houses, trees, and a roundabout.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0045,floresta,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a bridge.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0046,area edificada,"The image shows a mix of land cover types, including buildings, houses, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a single groundtrackfield.",0,0,0.0,0.0,0.0,0.0
tile_0047,area edificada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0048,area edificada,"The image shows a bridge and a building, with the bridge being located at the center and the building being located at the top. The land cover type visible is a bridge.","The image shows a mix of land cover types, including buildings, trees, and a bridge.",0,0,0.0,0.0,0.0,0.0
tile_0049,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0050,campo,"The image shows a mix of land cover types, including a golf field, trees, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0051,campo,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a road, and a building.",0,0,0.0,0.0,0.0,0.0
tile_0052,vegetacao cultivada,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0053,vegetacao cultivada,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0054,vegetacao cultivada,"The image shows a land cover type of trees at the bottom left, with some trees at the bottom right.","The image shows a mix of land cover types, including trees, a pond, and a road.",0,0,0.0,0.0,0.0,0.0
tile_0055,vegetacao cultivada,The image shows a land cover type of trees at the bottom right.,"The image shows a bridge and some trees in the center, with the bridge being the most prominent feature.",0,0,0.0,0.0,0.0,0.0
