region,tile_id,caption_lr,caption_sr,caption_gt,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
R1,tile_0000,"The image shows a coastal area with a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a golf field visible in the background.","The image shows a mix of land cover types, including a bridge, a building, a road, and a building, with the bridge and the building being the most prominent features.",0.4129911899981508,0.6297017414619639,0.6122448979591837,0.6666666666666667,0.4497969180134647,0.5266148629594637
R1,tile_0001,The image shows a land cover type of trees at the bottom of the scene.,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a road.","The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.",0.4084142155533755,0.8,0.5,0.8648648648648648,0.4114776470714115,0.7846808650367368
R1,tile_0002,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.8751733190429475,0.816828431106751,0.9375,0.8749999999999999,0.9317157650164152,0.8037311277734124
R1,tile_0003,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a large area of green grass, some trees, and a few buildings.","The image shows a mix of land cover types, including a bridge, a building, and a road, with the majority of the area being covered in trees.",0.3594631712937772,0.5432069112909964,0.6666666666666667,0.6530612244897959,0.6441387928819846,0.526659502007111
R1,tile_0004,"The image shows a mix of land cover types, including a building, trees, and a road.","The image shows a mix of land cover types, including a bridge, a building, and a road, with the majority of the area being covered in grass.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.875,0.4444444444444444,0.9032258064516128,0.6190476190476191,0.8586557982260813,0.5740852326358432
R1,tile_0005,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including grass, trees, and a building.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,0.8666666666666667,1.0,0.8666666666666667,1.0000000000000009,0.7357532581618298
R1,tile_0006,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,0.9333333333333332,1.0,0.9333333333333332,1.0000000000000009,0.8586557982260813
R1,tile_0007,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The remote sensing image shows a mix of land cover types, including trees, water, and a single bridge.","The remote sensing image shows a mix of land cover types, including a baseball field, a bridge, a building, a dam, a road, and a soccer ball field.",0.4260605391063553,0.4462526605735588,0.5957446808510638,0.6521739130434783,0.4086697453209458,0.5221391995458988
R1,tile_0008,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a road, a building, and a field.","The image shows a mix of land cover types, including a golf field, a bridge, and a building.",0.6549846024623855,0.776483765527544,0.7272727272727272,0.9142857142857144,0.5922486215716684,0.8037311277734124
R1,tile_0009,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including grass, trees, and a building.","The remote sensing image shows a mix of land cover types, including a large field, some trees, and a road.",0.6687625565355366,0.6209938024972841,0.8,0.7428571428571429,0.6862931425636344,0.5951143166387044
R1,tile_0010,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,1.0,1.0,1.0,1.0000000000000009,1.0000000000000009
R1,tile_0011,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a roundabout.",0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8586557982260813,0.8586557982260813
R1,tile_0012,"The image shows a mix of land cover types, including buildings, trees, and a ground track field.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.8235294117647058,0.9355069850316178,0.8484848484848485,0.967741935483871,0.7096597996236947,0.9317157650164152
R1,tile_0013,"The image shows a mix of land cover types, including trees, buildings, and a runway.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a bridge.",0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8586557982260813,0.8586557982260813
R1,tile_0014,"The image shows a coastal area with a mix of land cover types, including buildings, trees, and a road.","The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a bridge at the bottom left, a building at the top left, and a gray ship at the top left. The land cover type visible is a bridge.",0.2151132321610442,0.1923814209954871,0.3636363636363636,0.3773584905660377,0.2186861860340749,0.2554034481023964
R1,tile_0015,"The image shows a remote sensing scene with a mix of land cover types, including buildings, trees, and a road.","The image shows a coastal area with a mix of land cover types, including trees and water.","The image shows a remote sensing scene with a mix of land cover types, including buildings, trees, and a road.",1.0,0.640994389499941,1.0,0.7567567567567567,1.0,0.6059671415042285
R1,tile_0016,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and possibly buildings or other structures.","The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.",0.9,0.6462728399214892,0.9,0.6842105263157895,0.791528979180192,0.5485297816691111
R1,tile_0017,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a building.","The image shows a mix of land cover types, including trees, grass, and a golf field.",0.65,0.8731398526961766,0.7222222222222223,0.9032258064516128,0.5593112055152317,0.8037311277734124
R1,tile_0018,"The image shows a remote sensing scene with a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, grass, and possibly buildings or other structures.","The image shows a mix of land cover types, including trees, grass, and a building.",0.65,0.7222222222222222,0.7428571428571429,0.7878787878787877,0.5951143166387044,0.6862931425636344
R1,tile_0019,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,1.0,1.0,1.0,1.0000000000000009,1.0000000000000009
R1,tile_0020,The image shows a land cover type with trees at the bottom right.,"The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.",0.3957248857663575,0.8823529411764706,0.5,0.9375,0.361829013972971,0.8757463061376463
R1,tile_0021,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, a river, and a road.","The image shows a mix of land cover types, including trees, buildings, and a bridge.",0.9333333333333332,0.6190476190476191,0.9333333333333332,0.7222222222222222,0.8586557982260813,0.5951143166387044
R1,tile_0022,The image shows a land cover type of a golf field.,"The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single bridge.","The image shows a river with trees on both sides, and a bridge in the center.",0.2885165540637645,0.3333333333333333,0.3703703703703703,0.4864864864864864,0.2045271641032538,0.3192911065512164
R1,tile_0023,"The image shows a mix of land cover types, including trees, shrubs, and a building, with some trees located at the top and bottom of the image.","The image shows a mix of land cover types, including trees, roads, and a bridge.","The image shows a mix of land cover types, including a bridge, a building, trees, and a road.",0.5185185185185185,0.7095666526675843,0.6222222222222222,0.8484848484848485,0.6657648502125898,0.8037311277734124
R1,tile_0024,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.","The image shows a mix of land cover types, including trees, fields, and a road.",0.9333333333333332,1.0,0.9333333333333332,1.0,0.8586557982260813,1.0000000000000009
R1,tile_0025,"The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a building at the top.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.52,0.8823529411764706,0.7499999999999999,0.9375,0.7489933653203906,0.9317157650164152
R1,tile_0026,"The image shows a coastal area with a mix of land cover types, including a golf field and a body of water.","The image shows a mix of land cover types, including a dam, trees, and a golf field.","The image shows a mix of land cover types, including a bridge, a dam, a road, and various types of vegetation.",0.6818181818181818,0.6508668871612338,0.6976744186046512,0.7368421052631577,0.5313555632156536,0.6332205030600851
R1,tile_0027,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.8751733190429475,0.8751733190429475,0.9375,0.9375,0.9317157650164152,0.9317157650164152
R1,tile_0028,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and a building.","The image shows a mix of land cover types, including trees, a bridge, and a road.","The image shows a mix of land cover types, including trees, a road, and a bridge.",0.7,0.875,0.7777777777777777,1.0,0.5951143166387044,1.0000000000000009
R1,tile_0029,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a road.","The image shows a mix of land cover types, including trees, grass, and a road.",0.9333333333333332,1.0,0.9333333333333332,1.0,0.8586557982260813,1.0000000000000009
R1,tile_0030,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, a road, and a building.","The image shows a mix of land cover types, including a golf field, trees, and a road.",0.816828431106751,0.8219864299617914,0.8749999999999999,0.9090909090909092,0.8037311277734124,0.8037311277734124
R1,tile_0031,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, and a road, with some trees and a gray building at the bottom.",0.546178283108303,0.5196629203681354,0.7555555555555555,0.7906976744186047,0.6691314051938846,0.7576832018547038
R1,tile_0032,The image shows a land cover type of a bottle.,"The image shows a mix of land cover types, including a building, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.4852245277701068,0.875,0.64,0.9032258064516128,0.4271625272095739,0.8586557982260813
R1,tile_0033,"The image shows a mix of land cover types, including buildings, houses, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a bridge.",0.9375,0.9375,0.9375,0.9375,0.8680942667801238,0.8680942667801238
R1,tile_0034,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, houses, trees, and a roundabout.","The image shows a mix of land cover types, including buildings, houses, trees, and a road.",0.9355069850316178,0.9375,0.967741935483871,0.9375,0.9317157650164152,0.8680942667801238
R1,tile_0035,"The image shows a bridge and a building, with the bridge being located at the right side of the image.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a roundabout.",0.3499999999999999,0.9333333333333332,0.4,0.9333333333333332,0.2950463099651373,0.8586557982260813
R1,tile_0036,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a bridge.",0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.8586557982260813,0.8586557982260813
R1,tile_0037,"The image shows a coastal area with a mix of land cover types, including trees, a bridge, and a road.","The image shows a remote sensing scene with a bridge and some trees in the center, surrounded by a mix of land cover types.","The image shows a remote sensing scene with a bridge, trees, and a road, with the bridge being the most prominent feature in the center.",0.3894003915357024,0.5595271833136639,0.4888888888888889,0.6530612244897959,0.3895918414642437,0.5778494766371722
R1,tile_0038,"The image shows a coastal area with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, a road, and a bridge.","The image shows a coastal area with a mix of land cover types, including trees, a road, and a small harbor.",0.8053415603309687,0.8095238095238095,0.9,0.8095238095238095,0.8363150240554545,0.6219700287363547
R1,tile_0039,"The image shows a remote sensing scene with a mix of land cover types, including trees, buildings, and a road.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the bottom right.","The image shows a mix of land cover types, including trees, a road, and a roundabout.",0.7,0.5185185185185185,0.8333333333333334,0.6511627906976744,0.6862931425636344,0.5742633214101175
R1,tile_0040,"The image shows a mix of land cover types, including a large area of greenery, some trees, and a few buildings.","The image shows a mix of land cover types, including trees, grass, and possibly a few buildings or structures in the background.","The image shows a mix of land cover types, including trees, grass, and a building.",0.6190476190476191,0.6363636363636364,0.7222222222222222,0.7567567567567568,0.6103851869467585,0.6476794372116319
R1,tile_0041,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, grass, and a small area of water at the bottom right.","The image shows a mix of land cover types, including trees, water, and a single building.",0.8107727203607354,0.5909090909090909,0.8387096774193549,0.7368421052631579,0.6914890639979083,0.6415817207015069
R1,tile_0042,The image shows a land cover type of trees at the top left.,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.4616790333940838,1.0,0.5714285714285715,1.0,0.4354805056807227,1.0000000000000009
R1,tile_0043,"The image shows a mix of land cover types, including trees, grass, and buildings.","The image shows a mix of land cover types, including trees, buildings, and a soccer ball field.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.7980538111748767,0.8235294117647058,0.896551724137931,0.8749999999999999,0.8586557982260813,0.7581559064446654
R1,tile_0044,"The image shows a mix of land cover types, including trees, shrubs, and grass, with some areas appearing to be more densely vegetated than others.","The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a mix of land cover types, including trees, grass, and possibly a building or other structures in the background.",0.52,0.5842745080582082,0.5531914893617023,0.6829268292682926,0.4052124931360942,0.5176672157296515
R1,tile_0045,"The image shows a remote sensing scene with a mix of land cover types, including trees, shrubs, and grass.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a small area of land at the bottom left.","The image shows a remote sensing scene with a mix of land cover types, including trees, water, and a single ship.",0.8053415603309687,0.7037037037037037,0.8500000000000001,0.7916666666666667,0.7532444928234143,0.7202901418619914
R1,tile_0046,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.","The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a building, and a road.",0.7,0.8731398526961766,0.8333333333333334,0.9032258064516128,0.6862931425636344,0.8586557982260813
R1,tile_0047,"The image shows a mix of land cover types, including trees, a building, and a road.","The remote sensing image shows a mix of land cover types, including trees, a road, and a field.","The image shows a mix of land cover types, including trees, a road, and a field.",0.875,0.8888888888888888,0.9375,0.9411764705882352,0.8586557982260813,0.8757463061376463
R1,tile_0048,"The image shows a mix of land cover types, including trees, grass, and a building.","The image shows a mix of land cover types, including trees, a road, and a building.","The image shows a mix of land cover types, including trees, a bridge, and a building.",0.8731398526961766,0.9375,0.9032258064516128,0.9375,0.8586557982260813,0.8586557982260813
R1,tile_0049,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a bridge.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.8751733190429475,0.816828431106751,0.9375,0.9375,0.9317157650164152,0.9317157650164152
R1,tile_0050,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",0.8751733190429475,0.8751733190429475,0.9375,0.9375,0.9317157650164152,0.9317157650164152
R1,tile_0051,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",1.0,1.0,1.0,1.0,1.0000000000000009,1.0000000000000009
R1,tile_0052,"The image shows a baseball field and some trees in the center, with a road at the right.","The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including trees, a building, and a road.",0.3333333333333333,0.8731398526961766,0.4705882352941176,0.9032258064516128,0.329101928576653,0.8586557982260813
R1,tile_0053,"The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including trees, a golf field, and a road.","The image shows a mix of land cover types, including a roundabout, trees, and a road.",0.8731398526961766,0.8823529411764706,0.9032258064516128,0.9090909090909092,0.8586557982260813,0.8037311277734124
R1,tile_0054,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.","The image shows a mix of land cover types, including a baseball field, buildings, trees, and a road.",0.8187307530779819,0.8187307530779819,0.9090909090909092,0.9090909090909092,0.8757463061376463,0.8757463061376463
R1,tile_0055,The image shows a land cover type of trees at the top.,"The image shows a mix of land cover types, including trees, buildings, and a road.","The image shows a mix of land cover types, including buildings, trees, and a road.",0.4543004567916529,1.0,0.5925925925925926,1.0,0.4616980536470274,1.0000000000000009
